AtomicNumber,Name,AtomicWeight,Symbol,MeltingPoint,BoilingPoint,Density,Year_Discovered,IonizationEnergy,Table_Row,Table_Column,ChemicalSeries,AtomicRadius,NaturalState,ThermalConductivity,SpecificHeat,ElectronAffinity,NumberOfIsotopes,Classification,CrystalStructure,Discoverer,Cost,NaturalForming,PrimaryUse
75,Rhenium,186.200,Re,,5627.0,21.0000000,1925,7.8335,6,7,Transition metal,1.38,solid,48.00000,138.00,0.150000,15,metal,Hexagonal,Ida & Walter Noddack,5.4,yes,jewelry plating
76,Osmium,190.200,Os,3045,5027.0,22.5000000,1804,8.4382,6,8,Transition metal,1.35,solid,87.60000,131.00,1.100000,16,metal,Hexagonal,Smithson Tenant,77,yes,fountain pen points
77,Iridium,190.200,Ir,2410,4527.0,22.4000000,1804,8.9670,6,9,Transition metal,1.35,solid,147.00000,133.00,1.565000,16,metal,Cubic face centered,Smithson Tenant,42,yes,helicopter spark plugs
78,Platinum,195.100,Pt,1772,3827.0,21.4500000,1735,8.9587,6,10,Transition metal,1.38,solid,71.60000,133.00,2.128000,17,metal,Cubic face centered,Julius Scaliger,47,yes,dental crowns
79,Gold,197.000,Au,1064.43,2807.0,19.3000000,,9.2255,6,11,Transition metal,1.44,solid,318.00000,129.00,2.308630,19,metal,Cubic face centered,,44,yes,gold bars
80,Mercury,200.500,Hg,-38.87,357.0,13.6000000,,10.4375,6,12,Transition metal,1.55,liquid,8.65000,138.00,,22,metal,Rhombohedral,,0.05,yes,thermometers
81,Thallium,204.400,Tl,303.5,1457.0,11.8500000,1861,6.1082,6,13,Poor metal,1.71,solid,46.10000,128.00,0.200000,20,metal,Hexagonal,Sir William Crookes,0.48,yes,insecticide
82,Lead,207.200,Pb,327.5,1740.0,11.3500000,,7.4167,6,14,Poor metal,1.75,solid,35.30000,159.00,0.364000,20,metal,Cubic face centered,,0.015,yes,batteries
83,Bismuth,209.000,Bi,271.3,1560.0,9.8000000,,7.2856,6,15,Poor metal,1.82,solid,7.90000,124.00,0.946000,20,metal,Rhombohedral,Casper Newmann,0.11,yes,fuses
84,Polonium,210.000,Po,254,962.0,9.3200000,1898,8.4170,6,16,Metalloid,1.40,solid,0.20000,130.00,1.900000,27,metal,Monoclinic,Pierre & Marie Curie,,yes,nuclear batteries
85,Astatine,210.000,At,302,,,1940,9.3000,6,17,Halogen,1.40,solid,0.50000,,2.800000,20,metalloid,,D.R. Corson,,yes,
86,Radon,222.000,Rn,-71,-61.7,0.0097300,1898,10.7485,6,18,Noble gas,2.20,gas,0.00364,93.62,,28,non-metal,Cubic face centered,Fredrich Ernst Dorn,,yes,earthquake prediction
87,Francium,223.000,Fr,27,677.0,,1939,4.0727,7,1,Alkali metal,2.70,liquid,15.00000,,0.460000,29,metal,Cubic body centered,Marguerite Derey,,yes,
88,Radium,226.000,Ra,700,1737.0,5.5000000,1898,5.2784,7,2,Alkaline earth metal,2.20,solid,18.60000,120.00,,16,metal,Cubic body centered,Pierre & Marie Curie,,yes,glow-in-the-dark paint
89,Actinium,227.000,Ac,1050,3200.0,10.0700000,1899,5.1700,9,4,Actinide,2.00,solid,12.00000,120.00,,24,metal,Cubic face centered,Andre Debierne,,yes,neutron source
90,Thorium,232.000,Th,1750,4790.0,11.5000000,1828,6.3067,9,5,Actinide,1.80,solid,54.00000,113.00,,14,metal,Cubic face centered,Jons Berzelius,,yes,crucibles
91,Protactinium,231.000,Pa,1600,4800.0,15.3700000,1917,5.8900,9,6,Actinide,1.61,solid,47.00000,120.00,,15,metal,Orthorhombic,Fredrich Soddy,,yes,
92,Uranium,238.000,U,1132,3815.0,19.0500000,1789,6.1941,9,7,Actinide,1.38,solid,27.50000,116.00,,15,metal,Orthorhombic,Martin Klaproth,,yes,nuclear fission
93,Neptunium,237.000,Np,640,3235.0,20.4500000,1940,6.2657,9,8,Actinide,1.30,unstable,6.30000,,,11,metal,Orthorhombic,E.M. McMillan,,no,none
